entity_id,sku,Status
57455,maf0661120000,1
57456,maf0661110000,1
57459,maf0660970000,1
57462,maf0660880000,1
57463,maf0660850000,1
57464,maf0660840003,1
57466,maf0660830000,1
57467,maf0660820000,1
57468,maf0660800000,1
57470,maf0660780000,1
57471,maf0660770000,1
57472,maf0660750000,1
57476,maf0660620000,1
57477,maf0660610000,1
57478,maf0660600000,1
57479,maf0660590000,1
57482,maf0660510000,1
57486,maf0660400000,1
57488,maf0660280000,1
57489,maf0660270000,1
57493,maf0648320000,1
57494,maf0648310000,1
57495,maf0648300000,1
57496,maf0648290000,1
57497,maf0648280000,1
57498,maf0648270000,1
57499,maf0648260000,1
57500,maf064825000B,1
57501,maf064825000A,1
57502,maf0648240000,1
57503,maf0648230000,1
57504,maf0648220000,1
57505,maf0648210000,1
57509,maf0648170000,1
57511,maf0648150000,1
57512,maf0648140000,1
57514,maf0648120003,1
57515,maf0648120001,1
57516,maf0648110003,1
57517,maf0648110001,1
57518,maf0648100003,1
57519,maf0648100001,1
57521,maf0648090001,1
57523,maf0648080001,1
57524,maf0648040000,1
57525,maf0648030000,1
57526,maf0648020000,1
57527,maf064800000B,1
57528,maf064800000A,1
57529,maf0647990000,1
57531,maf0647960000,1
57533,maf0647930000,1
57534,maf0647920000,1
57535,maf0647910000,1
57536,maf0647900000,1
57539,maf064784000N,1
57540,maf0647810000,1
57545,maf0647720000,1
57546,maf0647710000,1
57547,maf0647680000,1
57548,maf0647640000,1
57549,maf0647630000,1
57552,maf0647590000,1
57554,maf0647530000,1
57555,maf0647520000,1
57560,maf0647420000,1
57561,maf0647410000,1
57562,maf0647400000,1
57563,maf0647260000,1
57568,maf0647110000,1
57570,maf0421280000,1
57571,maf0421270003,1
57572,maf0421270001,1
57575,maf0421240000,1
57576,maf0421220000,1
57577,maf0421210000,1
57578,maf0421200003,1
57579,maf0421200001,1
57580,maf0421190003,1
57581,maf0421190001,1
57582,maf0421180003,1
57583,maf0421180001,1
57585,maf0421160003,1
57587,maf0421150000,1
57592,maf0421100000,1
57593,maf0421090000,1
57594,maf0421080000,1
57595,maf0421070003,1
57596,maf0421070001,1
57597,maf042106000L,1
57598,maf042106000H,1
57599,maf042106000B,1
57600,maf0421050003,1
57601,maf0421050001,1
57606,maf0421020001,1
57607,maf0421010000,1
57608,maf0421000000,1
57609,maf0420990003,1
57610,maf0420990001,1
57611,maf0420980003,1
57612,maf0420980001,1
57613,maf0420970003,1
57614,maf0420970001,1
57619,maf042095000P,1
57620,maf042095000l,1
57621,maf042095000F,1
57622,maf042095000A,1
57623,maf0420940003,1
57626,maf0420930001,1
57627,maf0420920003,1
57628,maf0420920001,1
57629,maf0420910003,1
57630,maf0420910001,1
57635,maf0420880003,1
57641,maf0420840000,1
57643,maf0420820000,1
57644,maf0420810003,1
57647,maf0420790000,1
57648,maf0420780000,1
57651,maf042075000C,1
57656,maf0420730003,1
57657,maf0420730001,1
57658,maf0420710000,1
57659,maf0420700000,1
57660,maf0420690000,1
57661,maf0420680000,1
57662,maf0420550000,1
57663,maf0420530000,1
57664,maf0420320000,1
57665,maf0420310000,1
57666,maf0420300000,1
57669,maf0372670003,1
57670,maf0372670001,1
57672,maf0372660001,1
57677,maf0372630003,1
57678,maf0372630001,1
57679,maf0372620003,1
57680,maf0372620001,1
57681,maf0372610003,1
57682,maf0372610001,1
57683,maf0372600003,1
57684,maf0372600001,1
57685,maf0372590003,1
57686,maf0372590001,1
57688,maf0372580001,1
57691,maf0372560003,1
57692,maf0372560001,1
57693,maf0372550003,1
57694,maf0372550001,1
57695,maf0372540003,1
57696,maf0372540001,1
57697,maf0372530003,1
57698,maf0372530001,1
57701,maf0372510003,1
57703,maf0372500003,1
57704,maf0372500001,1
57705,maf0372490003,1
57706,maf0372490001,1
57707,maf0372480003,1
57708,maf0372480001,1
57709,maf0372470003,1
57710,maf0372470001,1
57711,maf0372460003,1
57712,maf0372460001,1
57713,maf0372450003,1
57714,maf0372450001,1
57715,maf0372440003,1
57716,maf0372440001,1
57717,maf0372430003,1
57718,maf0372430001,1
57724,maf0372360001,1
57725,maf0372340001,1
57729,maf0372260001,1
57732,maf0372210000,1
57735,maf0372050003,1
57736,maf0372040003,1
57738,maf0372030003,1
57739,maf0372030001,1
57743,maf0325880000,1
